frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,105.8,10,245,166,20.575083968838644,13.940669138070264,,,,,,,,,,,,,,,,,,,,,,,48,288,48,24.186221155206244,4.03103685920104,,,,,,,,,,,,,
1,105.8,11,246,166,20.659063903405332,13.940669138070264,,,,,,,,,,,,,,,,,,,,,,,48,290,48,24.35418102433962,4.03103685920104,,,,,,,,,,,,,
2,196.9,11,245,166,20.575083968838644,13.940669138070264,,,,,,,,,,,,,,,,,,,,,,,48,288,48,24.186221155206244,4.03103685920104,,,,,,,,,,,,,
3,231.9,8,244,166,20.491104034271956,13.940669138070264,180.41134941456832,107.58782636248506,2871.963969502163,1706.388998611975,,,,,,,,,,,,,,,,,,,48,290,48,24.35418102433962,4.03103685920104,-7.319840780971364,804.3470828052455,-137.22122927926432,12757.289180099053,,,,,,,,,
4,253.2,10,385,250,32.332274808175015,20.994983641672086,22.251611613155973,13.447017089964758,-772.6254032345821,-466.91031562377617,13,288,111,24.186221155206244,9.321772736902407,,,,,13,255,166,21.414883314505527,13.940669138070264,,,,,12,284,676,23.85030141693949,56.770435767081324,-2.0088279784294034,100.53246110116511,19.12649317060028,-3490.710454901565,13,262,745,22.002742856472345,62.56505125218282,,,,
5,267.1,10,386,250,32.4162547427417,20.994983641672086,87.65906130012934,52.532899623197565,-2308.2217963466082,-1366.2652697840724,13,288,111,24.186221155206244,9.321772736902407,,,,,13,255,166,21.414883314505527,13.940669138070264,,,,,12,284,676,23.85030141693949,56.770435767081324,-2.5015666487236916,392.7459638496199,65.06025094209863,-10214.459397909493,12,262,745,22.002742856472345,62.56505125218282,,,,
6,279.5,10,385,250,32.332274808175015,20.994983641672086,165.72642867761832,98.73063836113431,-3488.977445844596,-2078.5397549712484,13,288,111,24.186221155206244,9.321772736902407,,,,,13,255,167,21.414883314505527,14.024649072636953,,,,,12,284,676,23.85030141693949,56.770435767081324,-7.052188454366731,738.1290582237184,148.46712535508908,-15539.559120499334,13,262,745,22.002742856472345,62.56505125218282,,,,
7,310.8,10,385,250,32.332274808175015,20.994983641672086,0.0,0.0,0.0,0.0,13,288,111,24.186221155206244,9.321772736902407,0.30996451518289664,0.0,10.762656777183908,0.0,13,256,166,21.498863249072215,13.940669138070264,0.6131164181071788,0.0,-29.335713785032514,0.0,12,283,676,23.766321482372803,56.770435767081324,-0.6131164181071788,0.0,29.335713785032514,0.0,13,262,745,22.002742856472345,62.56505125218282,0.30996451518289664,0.0,10.762656777183908,0.0
8,344.0,10,385,250,32.332274808175015,20.994983641672086,-0.23512866157440754,0.0,22.287076926484097,0.0,13,289,111,24.270201089772932,9.321772736902407,0.2351286615744175,0.0,-22.287076926485042,0.0,13,255,166,21.414883314505527,13.940669138070264,0.0,0.0,0.0,0.0,12,284,676,23.85030141693949,56.770435767081324,0.0,0.0,0.0,0.0,13,262,745,22.002742856472345,62.56505125218282,0.0,0.0,0.0,0.0
9,374.5,10,385,250,32.332274808175015,20.994983641672086,0.4103738166186093,0.0,8.63944877091809,0.0,13,289,111,24.270201089772932,9.321772736902407,0.042517000940840106,0.0,-17.715417058683318,0.0,13,255,166,21.414883314505527,13.940669138070264,0.0,-0.45289081755946675,0.0,9.075968287764862,12,284,676,23.85030141693949,56.770435767081324,0.0,0.0,0.0,0.0,13,262,745,22.002742856472345,62.56505125218282,0.0,0.0,0.0,0.0
