frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,930,77,78.10133914702016,6.466454961635002,,,,,,,,,,,,,
1,112.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,40,259,171,21.75080305277228,14.360568810903708,,,,,,,,,,,,,
2,213.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,38,643,13,53.99909792638061,1.0917391493669484,,,,,,,,,,,,,
3,239.1,6,250,256,20.994983641672086,21.498863249072215,,,,,,,,,,,,,,,,,,,,,,,49,959,644,80.53675724945413,54.08307786094729,-569.877718712794,276.86627600561883,-9299.126208844014,-1562.044682222377,,,,,,,,,
4,270.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,45,954,647,80.11685757662067,54.33501766464736,-811.2495255831471,289.1679007167968,-14907.831466091322,462.97580058217125,,,,,,,,,
5,292.9,10,364,230,30.568696182274557,19.31538495033832,,,,,13,291,112,24.43816095890631,9.405752671469095,,,,,13,262,256,22.002742856472345,21.498863249072215,,,,,12,284,819,23.85030141693949,68.77956641011775,-120.15524295949987,269.7635816862309,6477.3715881131975,-14542.511142114867,12,265,789,22.25468266017241,66.2601683731171,,,,
6,304.1,10,364,230,30.568696182274557,19.31538495033832,52.68598266491475,-10.526054864988541,-2910.827771542252,709.7205834365155,13,291,112,24.43816095890631,9.405752671469095,,,,,13,261,256,21.918762921905657,21.498863249072215,,,,,12,284,819,23.85030141693949,68.77956641011775,-311.9564763054163,80.87760496807088,17235.16443676333,-4468.37596508679,13,265,789,22.25468266017241,66.2601683731171,,,,
7,318.8,10,364,230,30.568696182274557,19.31538495033832,,,,,14,291,112,24.43816095890631,9.405752671469095,,,,,13,262,257,22.002742856472345,21.582843183638904,,,,,12,284,819,23.85030141693949,68.77956641011775,-465.5706550750446,119.51963085508605,29281.173275160032,-7516.957915414216,13,265,788,22.25468266017241,66.17618843855041,,,,
8,330.0,10,364,230,30.568696182274557,19.31538495033832,0.0,0.0,0.0,0.0,13,291,112,24.43816095890631,9.405752671469095,0.0,0.0,0.0,0.0,13,261,257,21.918762921905657,21.582843183638904,0.4898303814591879,1.0213033717778555,148.4334489270262,-66.97071290346594,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,266,788,22.338662594739098,66.17618843855041,1.0213033717778555,-1.0213033717778122,-66.97071290346594,66.9707129034631
9,340.3,10,364,231,30.568696182274557,19.399364884905008,0.0,0.31559331414583697,0.0,-110.73449619152197,13,291,112,24.43816095890631,9.405752671469095,0.0,0.0,0.0,0.0,13,262,256,22.002742856472345,21.498863249072215,1.2446004408373736,0.9290071266915367,-59.40813560082932,51.326360590692644,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,788,22.25468266017241,66.17618843855041,0.9290071266915367,-1.2446004408373208,51.326360590692644,59.40813560082681
10,350.6,10,364,231,30.568696182274557,19.399364884905008,0.0,1.3606965161230928,0.0,-80.51458675284583,13,291,112,24.43816095890631,9.405752671469095,-0.41796494203258666,0.0,-26.287103272489723,0.0,13,262,257,22.002742856472345,21.582843183638904,0.0,0.0,0.0,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,265,789,22.25468266017241,66.2601683731171,0.41796494203258666,1.360696516123035,26.287103272489723,-80.51458675284242
11,360.5,10,364,230,30.568696182274557,19.31538495033832,0.0,0.24758331151566385,0.0,16.23497124692878,13,291,112,24.43816095890631,9.405752671469095,0.0,0.0,0.0,0.0,13,262,257,22.002742856472345,21.582843183638904,2.0423487369808564,-0.24758331151566385,-46.62896659773644,-16.23497124692878,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,266,788,22.338662594739098,66.17618843855041,-0.24758331151566385,0.24758331151565335,-16.23497124692878,16.23497124692809
12,382.2,10,364,230,30.568696182274557,19.31538495033832,0.0,-1.4223128525378692,0.0,27.779547901130247,13,291,112,24.43816095890631,9.405752671469095,0.0,0.0,0.0,0.0,13,262,257,22.002742856472345,21.582843183638904,-0.23813501997413677,1.4223128525378692,-11.366826729075745,-27.779547901130247,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,266,788,22.338662594739098,66.17618843855041,1.1841778325637327,0.0,-39.14637463020599,0.0
13,416.2,10,364,230,30.568696182274557,19.31538495033832,0.3253306232254277,-0.777308069689481,9.91861656175085,15.331520112218554,13,290,112,24.35418102433962,9.405752671469095,-0.1266468232386255,0.0,35.16875323572025,0.0,13,262,257,22.002742856472345,21.582843183638904,-0.3253306232254277,0.0,-9.91861656175085,0.0,12,284,819,23.85030141693949,68.77956641011775,0.0,0.0,0.0,0.0,13,266,788,22.338662594739098,66.17618843855041,0.777308069689481,-0.777308069689448,-15.331520112218554,15.331520112217904
