frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.9,15,251,167,21.078963576238774,14.024649072636953,,,,,,,,,,,,,,,,,,,,,,,48,287,47,24.102241220639556,3.947056924634352,,,,,,,,,,,,,
1,215.8,12,245,168,20.575083968838644,14.10862900720364,,,,,,,,,,,,,,,,,,,,,,,48,287,47,24.102241220639556,3.947056924634352,,,,,,,,,,,,,
2,215.8,8,240,164,20.155184296005203,13.772709268936888,,,,,,,,,,,,,,,,,,,,,,,48,287,47,24.102241220639556,3.947056924634352,,,,,,,,,,,,,
3,239.7,8,240,164,20.155184296005203,13.772709268936888,144.81335411146418,101.60269072700189,2615.1099878689406,1776.707356066729,,,,,,,,,,,,,,,,,,,48,285,48,23.93428135150618,4.03103685920104,-2.9109927164554326,788.1208193566191,-25.222262641416354,13482.907758005493,,,,,,,,,
4,264.3,10,358,247,30.064816574874428,20.74304383797202,85.31886183801052,58.384745814327765,-4550.339298027228,-3233.291239258993,14,283,112,23.766321482372803,9.405752671469095,,,,,14,251,168,21.078963576238774,14.10862900720364,,,,,12,283,680,23.766321482372803,57.10635550534808,-3.0201367022304586,477.9366331279704,161.07395745229113,-25489.95376682509,12,261,750,21.918762921905657,62.98495092501626,,,,
5,273.5,11,358,246,30.064816574874428,20.659063903405332,70.31486603576703,48.86287300790591,-3515.7433017883513,-2443.143650395295,14,283,112,23.766321482372803,9.405752671469095,,,,,14,251,168,21.078963576238774,14.10862900720364,,,,,12,283,680,23.766321482372803,57.10635550534808,-2.383554780873457,377.19754407322483,119.17773904367284,-18859.87720366124,13,261,750,21.918762921905657,62.98495092501626,,,,
6,287.5,11,358,246,30.064816574874428,20.659063903405332,90.73057365836452,63.050059660897375,-4877.987831094868,-3389.7881538116876,14,282,112,23.682341547806114,9.405752671469095,,,,,13,251,168,21.078963576238774,14.10862900720364,,,,,12,283,680,23.766321482372803,57.10635550534808,-1.5378063331926177,485.9468012888676,82.6777598490655,-26126.172112304717,13,261,750,21.918762921905657,62.98495092501626,,,,
7,301.8,11,358,246,30.064816574874428,20.659063903405332,0.0,-1.2444420003720946,0.0,53.06788914166718,14,283,112,23.766321482372803,9.405752671469095,0.0,0.0,0.0,0.0,13,251,167,21.078963576238774,14.024649072636953,0.0,-0.44884798005792087,0.0,95.49957022508978,12,283,680,23.766321482372803,57.10635550534808,0.0,0.0,0.0,0.0,13,261,750,21.918762921905657,62.98495092501626,0.0,0.0,0.0,0.0
8,313.5,11,358,246,30.064816574874428,20.659063903405332,0.0,0.0,0.0,0.0,14,283,111,23.766321482372803,9.321772736902407,0.0,-0.8997850132145173,0.0,59.98566754763448,14,251,168,21.078963576238774,14.10862900720364,0.0,-0.43625940034643257,0.0,-21.81297001732163,12,283,680,23.766321482372803,57.10635550534808,0.0,0.0,0.0,0.0,13,261,750,21.918762921905657,62.98495092501626,0.0,0.0,0.0,0.0
9,324.7,11,358,246,30.064816574874428,20.659063903405332,0.0,0.0,0.0,0.0,14,283,111,23.766321482372803,9.321772736902407,1.6019440566660725,-1.6019440566660725,-35.246293876041186,35.246293876041186,13,252,167,21.162943510805462,14.024649072636953,1.6019440566660725,-1.6019440566660725,-35.246293876041186,35.246293876041186,12,283,680,23.766321482372803,57.10635550534808,0.0,0.0,0.0,0.0,13,260,750,21.83478298733897,62.98495092501626,-1.6019440566660725,0.0,35.246293876041186,0.0
