frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,55,912,104,76.58970032481977,8.733913194935587,,,,,,,,,,,,,
1,136.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,425,697,35.691472190842546,58.534014392981774,,,,,,,,,,,,,
2,235.8,7,250,258,20.994983641672086,21.666823118205592,,,,,,,,,,,,,,,,,,,,,,,43,627,10,52.655418973313594,0.8397993456668834,,,,,,,,,,,,,
3,260.5,7,250,255,20.994983641672086,21.414883314505527,,,,,,,,,,,,,,,,,,,,,,,22,555,679,46.60886368451203,57.022375570781385,-409.29324230028647,287.78457759691844,-2701.8113169781186,-1639.330743213829,,,,,,,,,
4,297.5,8,250,257,20.994983641672086,21.582843183638904,,,,,,,,,,,,,,,,,,,,,,,50,953,650,80.03287764205399,54.58695746834742,-1822.1340912874523,472.12645879233617,-26056.47885100816,6169.470065985144,,,,,,,,,
5,297.5,10,362,78,30.40073631314118,6.550434896201691,55.57665735336192,-89.31962788933166,-3139.924144257737,5046.3066604142205,13,288,113,24.186221155206244,9.489732606035783,,,,,13,262,258,22.002742856472345,21.666823118205592,,,,,12,283,821,23.766321482372803,68.94752627925114,-170.6997332996116,402.43454565693315,9644.052728791623,-22736.415008866294,12,265,790,22.25468266017241,66.3441483076838,,,,
6,308.5,11,362,78,30.40073631314118,6.550434896201691,80.82768896075795,-127.73661558976926,-4796.89548728534,7580.808046870583,13,288,113,24.186221155206244,9.489732606035783,,,,,13,262,257,22.002742856472345,21.582843183638904,,,,,12,284,821,23.85030141693949,68.94752627925114,-197.0382202663382,102.47796278953246,11545.770568392625,-6081.7782070939165,12,265,790,22.25468266017241,66.3441483076838,,,,
7,323.5,10,362,78,30.40073631314118,6.550434896201691,193.19784230064732,-308.7715515340702,-12966.298140983037,20722.922921749672,13,287,113,24.102241220639556,9.489732606035783,,,,,13,261,258,21.918762921905657,21.666823118205592,,,,,12,284,821,23.85030141693949,68.94752627925114,-1155.3252134605157,294.97170565545275,77349.46945308018,-19796.758768822325,12,265,790,22.25468266017241,66.3441483076838,,,,
8,332.9,10,362,78,30.40073631314118,6.550434896201691,0.0,0.0,0.0,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,1.0901781301838618,0.0,-72.43708506205056,13,262,258,22.002742856472345,21.666823118205592,0.0,0.0,0.0,0.0,12,283,821,23.766321482372803,68.94752627925114,1.507894643128889,0.0,85.19178774739491,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
9,342.2,10,362,78,30.40073631314118,6.550434896201691,-0.998174371282543,0.0,-59.23883509095213,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,1.3368289046489352,0.0,-68.55532844353515,13,262,258,22.002742856472345,21.666823118205592,0.0,1.3368289046489352,0.0,-68.55532844353515,12,283,821,23.766321482372803,68.94752627925114,-1.3368289046489352,0.0,68.55532844353515,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
10,353.3,10,362,78,30.40073631314118,6.550434896201691,0.0,0.0,0.0,0.0,13,288,114,24.186221155206244,9.573712540602472,1.9228101387601952,1.9228101387601952,-60.0878168362561,-60.0878168362561,13,262,258,22.002742856472345,21.666823118205592,1.505932132015907,-0.4168780067442883,-88.06620655063786,-27.97838971438176,12,283,821,23.766321482372803,68.94752627925114,-1.505932132015907,0.0,88.06620655063786,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
11,363.0,10,362,78,30.40073631314118,6.550434896201691,-0.25214772085726367,0.0,-16.75400138586468,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,-0.25214772085726367,0.0,-16.75400138586468,13,262,258,22.002742856472345,21.666823118205592,-0.25214772085726367,0.0,-16.75400138586468,0.0,12,284,821,23.85030141693949,68.94752627925114,1.815785868139152,0.0,-64.73389904239406,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
12,381.2,11,361,78,30.316756378574492,6.550434896201691,-1.5495938082039296,0.0,30.96091524882975,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,0.0,0.0,0.0,13,262,258,22.002742856472345,21.666823118205592,-0.2352225379294208,0.0,-12.062694252790811,0.0,12,283,821,23.766321482372803,68.94752627925114,0.2352225379294208,0.0,12.062694252790811,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
13,417.3,11,362,78,30.40073631314118,6.550434896201691,-0.3277265739187838,0.0,-10.241455434961992,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,-0.3277265739187838,0.0,-10.241455434961992,13,261,257,21.918762921905657,21.582843183638904,-0.8001137058564048,-0.8001137058564048,16.002274117128106,16.002274117128106,12,284,821,23.85030141693949,68.94752627925114,0.8001137058564048,0.0,-16.002274117128106,0.0,13,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
14,449.2,10,361,78,30.316756378574492,6.550434896201691,-0.13528479530642984,0.0,19.465438173587046,0.0,13,288,113,24.186221155206244,9.489732606035783,-0.3881824219606766,-0.5234672172671064,-9.006552713704796,10.45888545988225,13,261,258,21.918762921905657,21.666823118205592,-0.13528479530642984,0.0,19.465438173587046,0.0,12,283,821,23.766321482372803,68.94752627925114,-0.13528479530642984,0.0,19.465438173587046,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
15,481.3,10,361,78,30.316756378574492,6.550434896201691,0.42010951774740146,0.0,8.393796558389637,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,0.0,0.0,0.0,13,261,258,21.918762921905657,21.666823118205592,0.0008389603852822443,0.0,16.779207705632025,0.0,12,284,821,23.85030141693949,68.94752627925114,0.4192705573621192,0.0,-8.385411147242388,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
16,517.3,11,361,78,30.316756378574492,6.550434896201691,-0.41926887713063743,0.0,8.41060937072492,0.0,13,288,113,24.186221155206244,9.489732606035783,0.0,-0.41926887713063743,0.0,8.41060937072492,13,261,257,21.918762921905657,21.582843183638904,0.42179585610455905,0.0,8.435917122091185,0.0,12,284,821,23.85030141693949,68.94752627925114,0.0,0.0,0.0,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
17,549.3,10,362,78,30.40073631314118,6.550434896201691,0.0008372858136548372,0.0,-16.745716273085854,0.0,13,287,113,24.102241220639556,9.489732606035783,-0.0008372858136548372,0.41885233278453043,16.745716273085854,8.368677977712897,13,262,258,22.002742856472345,21.666823118205592,0.0008372858136548372,0.0,-16.745716273085854,0.0,12,284,821,23.85030141693949,68.94752627925114,0.41968961859818527,0.0,-8.377038295372957,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
18,581.3,10,362,78,30.40073631314118,6.550434896201691,0.41989967283344176,0.0,-8.397993456668834,0.0,13,288,114,24.186221155206244,9.573712540602472,0.0,-0.41989967283344126,0.0,-8.397993456668829,13,262,258,22.002742856472345,21.666823118205592,0.41989967283344176,0.0,-8.397993456668834,0.0,12,284,821,23.85030141693949,68.94752627925114,0.0,0.0,0.0,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
19,617.0,10,361,78,30.316756378574492,6.550434896201691,0.40878059465251687,0.0,8.200212530642261,0.0,13,288,113,24.186221155206244,9.489732606035783,0.0,0.40878059465251687,0.0,8.200212530642261,13,262,257,22.002742856472345,21.582843183638904,0.016564922805128914,0.40878059465251687,-16.564922805128898,8.200212530642261,12,284,821,23.85030141693949,68.94752627925114,0.0,0.0,0.0,0.0,12,265,790,22.25468266017241,66.3441483076838,0.0,0.0,0.0,0.0
