frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,122.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,23,555,677,46.60886368451203,56.85441570164801,,,,,,,,,,,,,
1,122.9,8,251,252,,,,,,,,,,,,,,,,,,,,,,,,,47,424,620,35.607492256275854,52.06755943134677,,,,,,,,,,,,,
2,216.2,7,251,255,21.078963576238774,21.414883314505527,,,,,,,,,,,,,,,,,,,,,,,37,647,10,54.33501766464736,0.8397993456668834,,,,,,,,,,,,,
3,240.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,960,651,80.62073718402081,54.67093740291411,-754.7500188992888,200.63081005896694,-17831.974704787684,3741.658207673477,,,,,,,,,
4,262.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,47,958,641,80.45277731488743,53.83113805724723,-1134.0982302243365,316.42643329386556,-20831.919490118293,4349.354210321079,,,,,,,,,
5,275.8,10,367,139,30.820635985974622,11.67321090476968,59.816066488453664,-59.81606648845366,-3477.6782842124244,3477.678284212424,13,293,110,24.606120828039685,9.237792802335719,,,,,13,263,254,22.086722791039033,21.33090337993884,,,,,11,284,817,23.85030141693949,68.61160654098438,-187.18303564921274,416.13418669122507,10882.734630768191,-24193.848063443333,12,266,786,22.338662594739098,66.00822856941704,,,,
6,288.1,10,368,139,30.90461592054131,11.67321090476968,,,,,13,293,110,24.606120828039685,9.237792802335719,,,,,13,262,254,22.002742856472345,21.33090337993884,,,,,12,284,817,23.85030141693949,68.61160654098438,-477.49460725417737,117.25459290561163,29384.283523333987,-7215.667255729945,12,266,786,22.338662594739098,66.00822856941704,,,,
7,299.8,10,367,139,30.820635985974622,11.67321090476968,,,,,13,293,110,24.606120828039685,9.237792802335719,,,,,13,263,254,22.086722791039033,21.33090337993884,,,,,12,284,817,23.85030141693949,68.61160654098438,-690.4048857809481,180.28376839383813,44686.40037417143,-11668.85232322578,12,266,786,22.338662594739098,66.00822856941704,,,,
8,310.2,10,367,139,30.820635985974622,11.67321090476968,1.0052402697058207,1.0052402697058207,58.444201727082636,58.444201727082636,14,293,110,24.606120828039685,9.237792802335719,1.0052402697058207,1.0052402697058207,58.444201727082636,58.444201727082636,13,262,254,22.002742856472345,21.33090337993884,-0.2934527541660014,1.0052402697058207,124.87351241106327,58.444201727082636,11,284,817,23.85030141693949,68.61160654098438,-1.0052402697058207,1.0052402697057783,-58.444201727082636,58.44420172708016,12,266,786,22.338662594739098,66.00822856941704,0.0,1.0052402697057783,0.0,58.44420172708016
9,320.6,10,367,139,30.820635985974622,11.67321090476968,-1.1981904855668641,0.4837673876022043,85.28046160618261,29.77030077552026,13,293,110,24.606120828039685,9.237792802335719,0.4837673876022043,0.9675347752044086,29.77030077552026,59.54060155104052,14,263,254,22.086722791039033,21.33090337993884,1.6819578731690685,0.4837673876022043,-55.51016083066236,29.77030077552026,12,284,817,23.85030141693949,68.61160654098438,-0.4837673876022043,0.9675347752043676,-29.77030077552026,59.540601551038,13,266,786,22.338662594739098,66.00822856941704,0.0,0.9675347752043676,0.0,59.540601551038
