frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,112.1,7,250,255,20.994983641672086,21.414883314505527,,,,,,,,,,,,,,,,,,,,,,,38,898,118,75.41398124088613,9.909632278869225,,,,,,,,,,,,,
1,112.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,929,71,78.01735921245347,5.962575354234873,,,,,,,,,,,,,
2,205.7,8,250,255,20.994983641672086,21.414883314505527,,,,,,,,,,,,,,,,,,,,,,,44,637,12,53.49521831898048,1.00775921480026,,,,,,,,,,,,,
3,233.9,7,250,255,20.994983641672086,21.414883314505527,209.69667053694175,-241.7336618689745,3443.295082708403,-3969.3540536777423,,,,,,,,,,,,,,,,,,,52,958,648,80.45277731488743,54.418997599214045,-970.7584695415254,340.95862187982584,-16619.50567219123,-401.8276988281982,,,,,,,,,
4,251.1,10,394,88,33.088094219275206,7.3902342418685745,,,,,13,290,109,24.35418102433962,9.15381286776903,,,,,13,262,254,22.002742856472345,21.33090337993884,,,,,11,284,817,23.85030141693949,68.61160654098438,-80.69472673678243,93.3306451870383,4445.990453817216,-5142.184307825803,12,265,786,22.25468266017241,66.00822856941704,,,,
5,262.8,10,394,89,33.088094219275206,7.474214176435263,78.89695128668528,-90.95065217770663,-4654.687391544857,5365.820187475321,14,289,110,24.270201089772932,9.237792802335719,,,,,13,261,254,21.918762921905657,21.33090337993884,,,,,12,284,817,23.85030141693949,68.61160654098438,-193.40710975138822,441.05587351237267,11410.44895288427,-26020.995487455628,13,265,786,22.25468266017241,66.00822856941704,,,,
6,276.6,10,394,89,33.088094219275206,7.474214176435263,114.31282812814158,-131.7772879810521,-7910.922361809112,9119.535500418837,13,290,109,24.35418102433962,9.15381286776903,,,,,13,262,254,22.002742856472345,21.33090337993884,,,,,12,284,817,23.85030141693949,68.61160654098438,-535.0475427664404,134.1588052337218,37027.511610134316,-9284.346382956533,13,266,786,22.338662594739098,66.00822856941704,,,,
7,287.4,10,394,89,33.088094219275206,7.474214176435263,0.0,-0.6857865573627624,0.0,-165.2497728584973,13,290,109,24.35418102433962,9.15381286776903,-1.6932190761890604,0.0,-93.29030722804744,0.0,13,262,254,22.002742856472345,21.33090337993884,0.0,0.0,0.0,0.0,12,284,817,23.85030141693949,68.61160654098438,0.0,0.0,0.0,0.0,12,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
8,296.7,10,394,89,33.088094219275206,7.474214176435263,0.0,0.0,0.0,0.0,13,290,109,24.35418102433962,9.15381286776903,1.4618073667320814,-1.4618073667320814,-59.910137980822995,59.910137980822995,13,262,254,22.002742856472345,21.33090337993884,1.4618073667320814,0.0,-59.910137980822995,0.0,12,284,817,23.85030141693949,68.61160654098438,0.0,0.0,0.0,0.0,13,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
9,305.5,10,394,89,33.088094219275206,7.474214176435263,0.0,0.0,0.0,0.0,13,290,109,24.35418102433962,9.15381286776903,-0.16524504738601037,0.16524504738601037,-11.43564341771699,11.43564341771699,13,261,254,21.918762921905657,21.33090337993884,-2.125397425553561,0.0,54.01264105599897,0.0,12,284,817,23.85030141693949,68.61160654098438,0.0,0.0,0.0,0.0,13,265,786,22.25468266017241,66.00822856941704,-2.125397425553561,0.0,54.01264105599897,0.0
