frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,113.7,8,243,169,,,,,,,,,,,,,,,,,,,,,,,,,48,289,47,24.270201089772932,3.947056924634352,,,,,,,,,,,,,
1,113.7,8,243,169,20.407124099705268,14.192608941770331,,,,,,,,,,,,,,,,,,,,,,,48,289,47,24.270201089772932,3.947056924634352,,,,,,,,,,,,,
2,260.4,6,242,167,20.32314416513858,14.024649072636953,,,,,,,,,,,,,,,,,,,,,,,48,289,48,24.270201089772932,4.03103685920104,,,,,,,,,,,,,
3,260.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,48,289,48,24.270201089772932,4.03103685920104,-11.54467027425142,1210.3770455590832,-157.39155111453877,16493.586710303414,,,,,,,,,
4,273.0,10,358,263,30.064816574874428,22.086722791039033,10.272883301454998,8.396965481189302,-632.1774339356922,-516.7363373039569,13,285,111,23.93428135150618,9.321772736902407,,,,,13,254,166,21.33090337993884,13.940669138070264,,,,,12,283,677,23.766321482372803,56.85441570164801,-0.5359765200759126,56.27753460797086,32.98317046621,-3463.2328989520524,13,262,746,22.002742856472345,62.649031186749504,,,,
5,286.4,11,358,263,30.064816574874428,22.086722791039033,198.2001354266214,164.02769828410047,-13575.35174154939,-11234.773855075357,13,285,111,23.93428135150618,9.321772736902407,,,,,13,254,166,21.33090337993884,13.940669138070264,,,,,12,283,677,23.766321482372803,56.85441570164801,-10.25173114275627,1074.7231481322833,702.1733659422093,-73611.17452960834,13,262,746,22.002742856472345,62.649031186749504,,,,
6,295.6,11,358,263,30.064816574874428,22.086722791039033,,,,,13,285,110,23.93428135150618,9.237792802335719,,,,,13,254,166,21.33090337993884,13.940669138070264,,,,,12,283,677,23.766321482372803,56.85441570164801,-6.514767651264679,682.9648087742477,443.1814728751486,-46460.19107307811,13,262,746,22.002742856472345,62.649031186749504,,,,
7,305.5,10,358,263,30.064816574874428,22.086722791039033,0.0,0.0,0.0,0.0,13,285,111,23.93428135150618,9.321772736902407,0.9057069432279307,0.0,55.73581189094957,0.0,13,254,166,21.33090337993884,13.940669138070264,0.0,0.0,0.0,0.0,12,283,677,23.766321482372803,56.85441570164801,0.0,0.0,0.0,0.0,13,262,746,22.002742856472345,62.649031186749504,0.0,0.0,0.0,0.0
8,315.6,11,358,263,30.064816574874428,22.086722791039033,0.0,0.0,0.0,0.0,13,285,111,23.93428135150618,9.321772736902407,0.41880604403694177,0.0,28.685345481982267,0.0,13,254,166,21.33090337993884,13.940669138070264,0.0,0.0,0.0,0.0,12,283,677,23.766321482372803,56.85441570164801,0.0,0.0,0.0,0.0,13,262,746,22.002742856472345,62.649031186749504,0.0,0.0,0.0,0.0
9,325.0,11,358,263,30.064816574874428,22.086722791039033,0.23522984370099478,0.0,16.002030183741155,0.0,13,285,111,23.93428135150618,9.321772736902407,0.23522984370099478,2.145970219253061,16.002030183741155,-48.33266259578965,14,254,166,21.33090337993884,13.940669138070264,0.0,0.0,0.0,0.0,12,283,677,23.766321482372803,56.85441570164801,0.0,0.0,0.0,0.0,13,262,746,22.002742856472345,62.649031186749504,0.0,0.0,0.0,0.0
