frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-green,position_px_x-green,position_px_y-green,rx-green,ry-green,vx-green,vy-green,ax-green,ay-green,size_px-hotpink,position_px_x-hotpink,position_px_y-hotpink,rx-hotpink,ry-hotpink,vx-hotpink,vy-hotpink,ax-hotpink,ay-hotpink,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange,size_px-yellowneon,position_px_x-yellowneon,position_px_y-yellowneon,rx-yellowneon,ry-yellowneon,vx-yellowneon,vy-yellowneon,ax-yellowneon,ay-yellowneon
0,125.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,51,425,720,35.691472190842546,60.46555288801561,,,,,,,,,,,,,
1,125.5,6,543,706,45.60110446971177,59.28983380408197,,,,,,,,,,,,,,,,,,,,,,,46,635,12,53.3272584498471,1.00775921480026,,,,,,,,,,,,,
2,215.7,9,251,254,21.078963576238774,21.33090337993884,,,,,,,,,,,,,,,,,,,,,,,53,951,648,79.86491777292062,54.418997599214045,,,,,,,,,,,,,
3,246.1,8,250,255,20.994983641672086,21.414883314505527,,,,,,,,,,,,,,,,,,,,,,,50,956,647,80.28481744575406,54.33501766464736,-836.5752538447929,222.7361857177369,-20005.59954079706,4536.812788039807,,,,,,,,,
4,274.7,10,390,191,32.75217448100845,16.040167502237473,-14.685441723563297,-55.84212917470611,957.5521713255032,3137.198268241915,13,288,110,24.186221155206244,9.237792802335719,,,,,13,262,254,22.002742856472345,21.33090337993884,,,,,11,283,817,23.766321482372803,68.61160654098438,-36.26327416194496,87.28721162259887,2169.7899487626687,-4903.775933853866,12,265,786,22.25468266017241,66.00822856941704,,,,
5,274.7,10,391,191,32.836154415575145,16.040167502237473,88.11167131942398,-40.08833595958177,-3768.228802924652,1680.8526607791102,13,288,110,24.186221155206244,9.237792802335719,,,,,13,261,254,21.918762921905657,21.33090337993884,,,,,12,284,817,23.85030141693949,68.61160654098438,-425.40082263902826,107.5385520185607,17762.69337562681,-4508.953963042378,12,265,786,22.25468266017241,66.00822856941704,,,,
6,290.3,10,390,191,32.75217448100845,16.040167502237473,131.5521345789971,-59.67921617350409,-6083.604441908119,2801.841134906298,13,288,110,24.186221155206244,9.237792802335719,,,,,13,262,255,22.002742856472345,21.414883314505527,,,,,12,283,817,23.766321482372803,68.61160654098438,-627.5642575745039,158.5229179608703,29463.11068424904,-7442.3905145948565,13,265,786,22.25468266017241,66.00822856941704,,,,
7,310.3,10,391,191,32.836154415575145,16.040167502237473,-0.2653860291784519,0.0,-147.4366828769168,0.0,13,288,110,24.186221155206244,9.237792802335719,0.0,0.0,0.0,0.0,13,262,254,22.002742856472345,21.33090337993884,-1.3820662308497151,1.3820662308497151,-77.64417027245587,77.64417027245587,12,284,817,23.85030141693949,68.61160654098438,1.1166802016712747,0.0,-69.79251260445467,0.0,12,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
8,322.4,10,390,191,32.75217448100845,16.040167502237473,-0.6783699786963434,0.0,45.37591830744767,0.0,13,288,110,24.186221155206244,9.237792802335719,0.0,0.0,0.0,0.0,13,261,255,21.918762921905657,21.414883314505527,1.7264778121362552,-1.0481078334399405,72.38900679816587,-117.76492510561162,12,283,817,23.766321482372803,68.61160654098438,-0.6783699786963148,0.0,45.375918307445744,0.0,13,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
9,332.9,10,391,191,32.836154415575145,16.040167502237473,0.23264496497348722,0.0,-81.62981227139834,0.0,13,288,110,24.186221155206244,9.237792802335719,0.0,0.0,0.0,0.0,13,262,254,22.002742856472345,21.33090337993884,0.0,-0.23264496497347736,0.0,81.62981227139488,12,283,817,23.766321482372803,68.61160654098438,0.8148433339803981,0.0,38.25555558593422,0.0,12,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
10,342.3,10,390,191,32.75217448100845,16.040167502237473,-1.809033784658714,0.0,50.95869815940039,0.0,13,288,110,24.186221155206244,9.237792802335719,0.0,0.0,0.0,0.0,13,261,255,21.918762921905657,21.414883314505527,-1.4415569753964979,1.4415569753964979,73.92599873828195,-73.92599873828195,12,284,817,23.85030141693949,68.61160654098438,-0.36747680926213944,0.0,-22.967300578883716,0.0,12,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
11,352.3,10,390,191,32.75217448100845,16.040167502237473,0.2213602542023264,0.0,14.80670596671078,0.0,13,288,110,24.186221155206244,9.237792802335719,0.0,0.0,0.0,0.0,13,262,254,22.002742856472345,21.33090337993884,2.1231429775101556,-2.1231429775101556,-45.85621981663405,45.85621981663405,12,283,817,23.766321482372803,68.61160654098438,0.22136025420231706,0.0,14.806705966710155,0.0,12,265,786,22.25468266017241,66.00822856941704,0.0,0.0,0.0,0.0
