frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,126.6,6,542,706,45.51712453514508,59.28983380408197,,,,,35,357,30,29.98083664030774,2.5193980370006503,,,,
1,229.1,,,,,,,,,,35,357,30,,,,,,
2,229.1,,,,,,,,,,53,958,651,,,,,,
3,251.9,6,543,705,45.60110446971177,59.20585386951528,244.47230849172436,-553.4157598684648,3891.4936563352653,-8822.75385388898,50,960,646,80.62073718402081,54.25103773008067,,,,
4,276.4,10,747,243,62.733011121316196,20.407124099705268,,,,,,,,,,,,,
5,292.4,10,747,243,62.733011121316196,20.407124099705268,,,,,,,,,,,,,
6,302.0,10,747,243,62.733011121316196,20.407124099705268,132.7734351860433,-302.3082621050771,-8350.530514845486,18847.00526160904,,,,,,,,,
7,313.8,10,747,243,62.733011121316196,20.407124099705268,0.0,0.0,0.0,0.0,,,,,,,,,
8,323.5,10,747,243,62.733011121316196,20.407124099705268,0.0,0.0,0.0,0.0,,,,,,,,,
9,333.8,10,747,242,62.733011121316196,20.32314416513858,0.0,-0.8152276940435963,0.0,114.82080197797137,,,,,,,,,
10,343.6,10,747,243,62.733011121316196,20.407124099705268,0.0,-0.3763085002537158,0.0,-25.255604043873536,,,,,,,,,
11,353.6,10,747,243,62.733011121316196,20.407124099705268,0.0,0.0,0.0,0.0,,,,,,,,,
12,379.8,10,747,243,62.733011121316196,20.407124099705268,0.0,1.2496566872063415,0.0,-25.043220184495816,,,,,,,,,
13,411.6,10,747,242,62.733011121316196,20.32314416513858,0.0,-0.3951996920785331,0.0,24.699980754908317,,,,,,,,,
14,447.4,10,747,243,62.733011121316196,20.407124099705268,0.0,0.0,0.0,0.0,,,,,,,,,
15,479.6,10,747,243,62.733011121316196,20.407124099705268,0.0,0.0,0.0,0.0,,,,,,,,,
16,511.6,10,747,243,62.733011121316196,20.407124099705268,0.0,0.4192688771306368,0.0,-8.410609370724918,,,,,,,,,
