frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,123.7,,,,,,,,,,34,357,29,29.98083664030774,2.435418102433962,,,,
1,123.7,,,,,,,,,,40,357,36,,,,,,
2,213.6,,,,,,,,,,55,956,649,,,,,,
3,239.8,6,542,705,45.51712453514508,59.20585386951528,,,,,39,357,35,29.98083664030774,2.939297709834092,,,,
4,264.2,9,759,222,63.740770336116455,18.643545473804814,,,,,,,,,,,,,
5,280.7,10,759,222,63.740770336116455,18.643545473804814,,,,,,,,,,,,,
6,291.5,10,759,222,63.740770336116455,18.643545473804814,127.22693139998142,-283.18252472899076,-8714.173383560374,19396.063337602114,,,,,,,,,
7,301.3,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
8,311.9,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
9,320.7,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
10,329.9,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
11,374.9,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
12,407.1,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
13,442.6,9,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
14,474.5,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
15,506.6,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
16,542.2,9,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
17,574.2,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
18,606.6,9,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
19,674.6,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
20,706.5,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
21,706.5,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
22,744.9,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
23,774.8,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
24,810.4,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
25,843.1,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
26,875.4,9,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
27,906.9,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
28,942.6,9,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
29,974.5,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
30,1010.2,10,759,222,63.740770336116455,18.643545473804814,0.4520202398271421,0.0,8.751601932761702,0.0,,,,,,,,,
31,1046.5,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
32,1075.8,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
33,1106.4,10,760,222,63.82475027068314,18.643545473804814,0.44515805658979746,0.0,-8.894266864931026,0.0,,,,,,,,,
34,1142.6,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
35,1174.9,10,759,222,63.740770336116455,18.643545473804814,0.41989204613632075,0.0,8.474107893770334,0.0,,,,,,,,,
36,1206.5,10,760,222,63.82475027068314,18.643545473804814,-0.41885233278451245,0.0,-8.368677977712544,0.0,,,,,,,,,
37,1242.4,10,759,222,63.740770336116455,18.643545473804814,0.0,0.0,0.0,0.0,,,,,,,,,
38,1274.6,10,760,222,63.82475027068314,18.643545473804814,0.0025269789739239116,0.0,-16.846526492815425,0.0,,,,,,,,,
