frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,114.9,,,,,,,,,,30,893,129,74.99408156805269,10.833411559102796,,,,
1,114.9,,,,,,,,,,22,555,677,,,,,,
2,233.8,6,543,706,45.60110446971177,59.28983380408197,,,,,52,960,645,,,,,,
3,254.2,6,542,705,45.51712453514508,59.20585386951528,,,,,33,968,653,81.29257666055432,54.83889727204749,,,,
4,269.3,10,735,264,61.725251906515936,22.17070272560572,,,,,,,,,,,,,
5,282.9,10,735,263,61.725251906515936,22.086722791039033,143.27179766183005,-330.56982481349326,-7540.620929570003,17398.411832289123,,,,,,,,,
6,294.5,10,735,264,61.725251906515936,22.17070272560572,188.35924552782407,-430.3959962578776,-10611.788480440793,24247.661761007188,,,,,,,,,
7,305.9,10,735,263,61.725251906515936,22.086722791039033,0.0,-1.0721183810145876,0.0,66.79865302271568,,,,,,,,,
8,320.9,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
9,330.0,10,735,264,61.725251906515936,22.17070272560572,0.0,-0.6060192942146968,0.0,-34.14193206843362,,,,,,,,,
10,338.0,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
11,352.5,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
12,384.6,10,735,263,61.725251906515936,22.086722791039033,0.0,-0.9955880024304268,0.0,19.872016016575387,,,,,,,,,
13,416.7,10,735,263,61.725251906515936,22.086722791039033,0.0,0.36927395034486604,0.0,9.384344354380332,,,,,,,,,
14,453.0,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
15,484.8,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
16,516.8,10,735,264,61.725251906515936,22.17070272560572,0.0,-0.0016796003709331885,0.0,-16.796003709341353,,,,,,,,,
17,552.3,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
18,584.2,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
19,616.7,10,735,263,61.725251906515936,22.086722791039033,0.0,-0.42053025795524485,0.0,8.410605159104897,,,,,,,,,
20,652.4,10,735,263,61.725251906515936,22.086722791039033,0.0,0.4188523327845305,0.0,8.368677977712894,,,,,,,,,
21,685.4,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
22,716.7,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
23,752.6,10,735,264,61.725251906515936,22.17070272560572,0.0,0.4180133717706565,0.0,-8.385423706532736,,,,,,,,,
24,784.6,10,735,263,61.725251906515936,22.086722791039033,0.0,0.4207377552976229,0.0,8.482616034226265,,,,,,,,,
25,816.6,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
26,852.3,10,735,264,61.725251906515936,22.17070272560572,0.0,-0.4180133717706565,0.0,-8.385423706532736,,,,,,,,,
27,884.2,10,735,264,61.725251906515936,22.17070272560572,0.0,0.007550794332555924,0.0,-16.779542961235645,,,,,,,,,
28,917.3,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
29,952.5,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0033592108195114635,0.0,16.796054097554045,,,,,,,,,
30,984.7,10,735,263,61.725251906515936,22.086722791039033,0.0,-0.4198789891393951,0.0,8.273477618510247,,,,,,,,,
31,1016.5,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
32,1052.3,10,735,264,61.725251906515936,22.17070272560572,0.0,-0.02697616506609147,0.0,-17.403977461994987,,,,,,,,,
33,1086.2,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
34,1116.6,10,735,263,61.725251906515936,22.086722791039033,0.0,0.4220063318145371,0.0,8.4316949413494,,,,,,,,,
35,1149.0,10,735,263,61.725251906515936,22.086722791039033,0.0,-0.049142040556590647,0.0,16.945531226410726,,,,,,,,,
36,1184.5,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
37,1216.3,10,735,264,61.725251906515936,22.17070272560572,0.0,0.423055557957389,0.0,-8.410647275494801,,,,,,,,,
38,1251.5,10,735,264,61.725251906515936,22.17070272560572,0.0,-0.04556445672403348,0.0,-16.875724712604736,,,,,,,,,
39,1284.5,10,735,263,61.725251906515936,22.086722791039033,0.0,0.0,0.0,0.0,,,,,,,,,
