frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,128.3,6,543,705,45.60110446971177,59.20585386951528,,,,,22,873,11,73.31448287671893,0.9237792802335718,,,,
1,128.3,6,543,706,45.60110446971177,59.28983380408197,,,,,21,874,11,,,,,,
2,244.1,,,,,,,,,,57,956,649,,,,,,
3,279.9,6,542,706,45.51712453514508,59.28983380408197,284.75573566225523,-587.3753253323225,3763.980118921878,-7756.3229905586495,53,956,646,80.28481744575406,54.25103773008067,,,,
4,299.9,9,767,242,64.41260981264996,20.32314416513858,20.42783011141813,-42.31479094508042,-1039.5842295887087,2153.4244755766113,,,,,,,,,
5,329.8,9,767,242,64.41260981264996,20.32314416513858,,,,,,,,,,,,,
6,329.8,9,767,242,64.41260981264996,20.32314416513858,138.5719280981633,-285.76610950021234,-9623.050562372448,19844.868715292516,,,,,,,,,
7,339.2,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
8,349.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
9,358.6,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
10,368.0,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
11,376.7,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
12,386.8,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
13,416.4,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
14,448.5,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
15,484.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
16,516.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
17,548.7,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
18,584.4,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
19,616.3,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
20,648.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
21,684.5,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
22,716.5,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
23,748.6,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
24,784.2,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
25,816.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
26,848.3,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
27,884.2,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
28,916.6,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
29,948.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
30,985.1,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
31,1016.9,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
32,1048.6,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
33,1084.1,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
34,1116.5,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
35,1148.3,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
36,1185.0,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
37,1217.1,9,767,242,64.41260981264996,20.32314416513858,0.0,-0.4275410121965566,0.0,-8.49982131603493,,,,,,,,,
38,1248.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
39,1284.2,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
40,1316.1,10,767,241,64.41260981264996,20.23916423057189,0.0,-0.009321782058685531,0.0,16.94869465215354,,,,,,,,,
41,1348.4,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
42,1384.3,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
43,1416.2,9,767,242,64.41260981264996,20.32314416513858,0.0,0.42073361951124044,0.0,-8.35617913627091,,,,,,,,,
44,1448.4,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
45,1484.3,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
46,1516.9,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
47,1548.7,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
48,1584.0,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
49,1616.1,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
50,1648.4,9,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
51,1685.0,10,767,242,64.41260981264996,20.32314416513858,0.0,0.0,0.0,0.0,,,,,,,,,
