frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,93.0,6,542,705,,,,,,,29,862,7,72.39070359648535,0.5878595419668184,,,,
1,93.0,6,542,705,45.51712453514508,59.20585386951528,,,,,56,962,647,,,,,,
2,196.3,6,542,705,45.51712453514508,59.20585386951528,,,,,48,955,648,,,,,,
3,243.5,,,,,,,,,,46,959,649,80.53675724945413,54.50297753378074,,,,
4,266.3,9,748,241,62.81699105588288,20.23916423057189,11.985149157465106,-32.51794776449269,-1013.7446094431203,2219.6551375080326,,,,,,,,,
5,275.6,10,748,241,62.81699105588288,20.23916423057189,58.121439071669904,-130.91430936531472,-4036.21104664375,9091.271483702425,,,,,,,,,
6,286.0,10,748,241,62.81699105588288,20.23916423057189,,,,,,,,,,,,,
7,295.6,10,747,241,62.733011121316196,20.23916423057189,0.1655572199784347,0.0,206.94652497304062,0.0,,,,,,,,,
8,304.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
9,313.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
10,323.3,10,748,241,62.81699105588288,20.23916423057189,2.347890902201261,0.0,-49.377306039984475,0.0,,,,,,,,,
11,350.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
12,382.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
13,418.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
14,451.9,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
15,482.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
16,518.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
17,582.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
18,618.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
19,654.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
20,692.8,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
21,718.7,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
22,750.7,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
23,818.1,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
24,850.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
25,882.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
26,918.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
27,958.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
28,985.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
29,1019.2,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
30,1053.0,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
31,1082.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
32,1118.8,10,748,241,62.81699105588288,20.23916423057189,-0.4222216801153832,0.0,-8.478346990268747,0.0,,,,,,,,,
33,1152.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
34,1182.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
35,1218.3,10,747,241,62.733011121316196,20.23916423057189,-0.014178192222313807,0.0,16.680226143898285,0.0,,,,,,,,,
36,1252.2,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
37,1288.9,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
38,1319.5,10,748,241,62.81699105588288,20.23916423057189,0.4103610580181569,0.0,-8.290122384205189,0.0,,,,,,,,,
39,1350.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
40,1382.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
41,1418.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
42,1450.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
43,1482.7,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
44,1518.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
45,1550.7,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
46,1582.7,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
47,1619.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
48,1650.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
49,1688.8,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
50,1718.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
51,1750.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
52,1782.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
53,1818.2,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
54,1850.6,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
55,1882.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
56,1918.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
57,1950.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
58,1982.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
59,2018.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
60,2050.9,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
61,2082.6,10,748,241,62.81699105588288,20.23916423057189,-0.418852332784511,0.0,-8.368677977712515,0.0,,,,,,,,,
62,2118.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
63,2150.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
64,2182.8,10,747,241,62.733011121316196,20.23916423057189,0.0033592108195153124,0.0,16.796054097553334,0.0,,,,,,,,,
65,2218.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
66,2250.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
67,2282.6,10,748,241,62.81699105588288,20.23916423057189,0.425740059957302,0.0,-8.331508022647768,0.0,,,,,,,,,
68,2318.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
69,2351.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
70,2384.8,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
71,2418.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
72,2451.3,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
73,2483.1,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
74,2518.9,10,748,241,62.81699105588288,20.23916423057189,-0.4247588293116279,0.0,-8.452912026102046,0.0,,,,,,,,,
75,2557.0,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
76,2582.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
77,2618.3,10,747,241,62.733011121316196,20.23916423057189,-0.006745457540987,0.0,16.863643852473086,0.0,,,,,,,,,
78,2650.4,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
79,2682.5,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
80,2718.5,10,748,241,62.81699105588288,20.23916423057189,0.4221749342044911,0.0,-8.30235858809227,0.0,,,,,,,,,
81,2752.9,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
82,2782.7,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
83,2820.2,10,748,241,62.81699105588288,20.23916423057189,0.0,0.0,0.0,0.0,,,,,,,,,
84,2856.8,10,748,241,62.81699105588288,20.23916423057189,-0.4029739895754155,0.0,-7.75695841338624,0.0,,,,,,,,,
85,2882.7,10,748,241,62.81699105588288,20.23916423057189,-0.8151808830002746,1.2227713245004117,-16.30361766000549,24.455426490008236,,,,,,,,,
86,2924.7,10,748,241,62.81699105588288,20.23916423057189,-2.333334174103015,3.733334678564856,-44.65711337996201,71.45138140793983,,,,,,,,,
87,2960.9,10,747,241,62.733011121316196,20.23916423057189,-4.390246705544848,7.5311860191224484,-68.84770471763079,144.69137404654091,,,,,,,,,
88,2984.7,10,746,244,62.649031186749504,20.491104034271956,-6.488365692862499,11.2621830617584,-94.93530018043029,172.39578404446212,,,,,,,,,
89,3019.2,10,743,249,62.39709138304944,20.911003707105397,-9.296857837111856,16.03141513259481,-102.7190488001193,188.82545359798507,,,,,,,,,
90,3050.7,10,739,256,62.06117164478269,21.498863249072215,-12.30760497756993,22.927303020712962,-107.48544165263881,198.20655471939583,,,,,,,,,
91,3082.7,10,733,267,61.55729203738255,22.422642529305786,-16.433476125906946,28.658953345377082,-108.0261372286401,182.6403441926537,,,,,,,,,
92,3118.4,10,726,279,60.96943249541574,23.43040174410605,-19.771160233255138,35.33309687737877,-108.45640273502693,200.32135577265817,,,,,,,,,
93,3150.5,10,718,295,60.29759301888223,24.774080697173062,-23.421352802843586,41.41815280082086,-115.23495564743395,172.3515571064129,,,,,,,,,
94,3182.7,10,707,312,59.37381373864866,26.201739584806763,-25.619244614734445,45.88659723217019,-75.6892325479099,161.91253354320853,,,,,,,,,
95,3218.4,10,696,333,58.45003445841509,27.965318210707217,-29.525964917812054,53.22885978187792,-86.6396909561114,157.59390231732507,,,,,,,,,
96,3251.1,9,683,355,57.35829530904814,29.812876771174363,-33.644782310636295,59.31593537148198,-88.0141399349264,183.4691699445046,,,,,,,,,
97,3287.7,10,670,380,56.26655615968119,31.91237513534157,-36.852760085669786,66.30759947011579,-138.28249070800132,227.05893765575556,,,,,,,,,
98,3319.9,9,655,407,55.006857141180866,34.17983336864216,-39.20684440619056,70.39420460294221,-104.11655512031254,180.6394931716264,,,,,,,,,
99,3350.5,9,638,436,53.57919825354716,36.61525147107612,-41.99203001751498,75.58565403152694,-79.93853022359808,143.88935440247602,,,,,,,,,
100,3382.5,9,621,467,52.151539365913465,39.218629442643454,-45.98710337134343,82.47629362560589,-54.425173546716685,114.05275338833837,,,,,,,,,
101,3418.4,9,603,500,50.63990054371307,41.98996728334417,-47.7280232025463,86.15192551160648,-68.90230368894058,139.31423086216563,,,,,,,,,
102,3450.9,9,583,535,48.9603018523793,44.929264993178265,-49.34998578937878,89.15718637760892,-66.6342939171151,126.45989551947554,,,,,,,,,
103,3482.5,9,563,572,47.28070316104554,48.036522572145735,-52.42758563293168,95.20794570065068,-74.38447168504811,140.58028811255747,,,,,,,,,
104,3518.5,9,542,611,45.51712453514508,51.311740020246575,-54.889644312233315,100.1416902316437,-74.18702917193929,140.20154775995675,,,,,,,,,
105,3552.8,9,519,651,43.58558604011125,54.67093740291411,-57.81673811188438,105.97039301310829,-99.54337678956989,203.53434659042364,,,,,,,,,
106,3582.7,9,496,694,41.65404754507742,58.28207458928171,-59.14498607484704,108.75314982106356,-59.69537745497911,129.78306758430674,,,,,,,,,
107,3618.8,9,472,739,39.6385291154769,62.06117164478269,-62.55344197791264,115.4559947862046,-78.63047163921362,165.1684333878175,,,,,,,,,
108,3650.6,9,446,786,37.455050816743004,66.00822856941704,-62.56161627718432,122.41018336519777,2.5111034705524573,132.6576851496488,,,,,,,,,
109,3685.3,9,420,835,35.2715725180091,70.12324536318476,-56.49703192445867,117.19749667468788,111.31241742356296,34.82408355846735,,,,,,,,,
110,3718.6,9,393,886,33.00411428470852,74.40622202608587,-52.870921259566195,108.5209691178048,272.6689629888421,-304.14690369643114,,,,,,,,,
111,3782.5,9,348,992,29.225017229207545,83.30809509015484,-33.27189572196262,76.25175224589007,441.60899592628874,-832.5580811967708,,,,,,,,,
