frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,136.3,6,542,705,,,,,,,34,847,9,71.13100457798502,0.7558194111001951,,,,
1,136.3,6,543,705,,,,,,,34,847,8,71.13100457798502,0.6718394765335067,,,,
2,269.1,6,542,705,45.51712453514508,59.20585386951528,,,,,51,957,650,,,,,,
3,291.1,,,,,,,,,,34,847,8,71.13100457798502,0.6718394765335067,,,,
4,307.0,,,,,,,,,,35,846,9,71.04702464341834,0.7558194111001951,,,,
5,331.4,10,726,277,60.96943249541574,23.262441874972673,72.23645061839382,-168.02826556887248,-5643.472704562012,13127.208247568153,,,,,,,,,
6,331.4,10,726,277,60.96943249541574,23.262441874972673,,,,,,,,,,,,,
7,340.7,10,726,277,60.96943249541574,23.262441874972673,,,,,,,,,,,,,
8,357.0,10,726,277,60.96943249541574,23.262441874972673,0.0,0.0,0.0,0.0,,,,,,,,,
9,374.4,10,726,277,60.96943249541574,23.262441874972673,0.0,0.0,0.0,0.0,,,,,,,,,
10,387.7,10,726,277,60.96943249541574,23.262441874972673,1.2849370968178762,0.0,54.67817433267558,0.0,,,,,,,,,
11,397.8,10,726,277,60.96943249541574,23.262441874972673,0.0,0.0,0.0,0.0,,,,,,,,,
12,407.5,10,726,277,60.96943249541574,23.262441874972673,0.0,0.0,0.0,0.0,,,,,,,,,
13,424.4,10,727,277,61.05341242998242,23.262441874972673,1.6739441081364108,0.0,-33.47888216272821,0.0,,,,,,,,,
14,460.3,10,726,277,60.96943249541574,23.262441874972673,0.0,0.32352216196603095,0.0,10.35270918291299,,,,,,,,,
15,492.7,10,726,277,60.96943249541574,23.262441874972673,0.0,0.38873515844122397,0.0,9.125238461061597,,,,,,,,,
16,524.4,10,727,277,61.05341242998242,23.262441874972673,0.0,0.0,0.0,0.0,,,,,,,,,
