frame_no,timestamp,size_px-darkorange,position_px_x-darkorange,position_px_y-darkorange,rx-darkorange,ry-darkorange,vx-darkorange,vy-darkorange,ax-darkorange,ay-darkorange,size_px-lightorange,position_px_x-lightorange,position_px_y-lightorange,rx-lightorange,ry-lightorange,vx-lightorange,vy-lightorange,ax-lightorange,ay-lightorange
0,117.6,6,543,705,,,,,,,35,846,9,71.04702464341834,0.7558194111001951,,,,
1,117.6,,,,,,,,,,35,845,9,,,,,,
2,223.7,,,,,,,,,,52,957,650,,,,,,
3,252.4,,,,,,,,,,36,845,10,70.96304470885165,0.8397993456668834,,,,
4,272.9,9,738,296,61.977191710216,24.85806063173975,,,,,,,,,,,,,
5,289.5,10,738,297,61.977191710216,24.94204056630644,,,,,,,,,,,,,
6,301.4,10,738,297,61.977191710216,24.94204056630644,,,,,,,,,,,,,
7,311.6,10,738,297,61.977191710216,24.94204056630644,0.0,0.8995258953536274,0.0,-65.65882447836701,,,,,,,,,
8,321.2,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
9,329.7,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
10,339.0,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
11,350.6,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
12,381.8,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
13,413.9,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
14,446.3,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
15,482.1,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
16,513.9,10,738,297,61.977191710216,24.94204056630644,0.0,-0.2742291489246613,0.0,-5.484582978493226,,,,,,,,,
17,545.9,10,738,297,61.977191710216,24.94204056630644,0.0,-0.23635517025690791,0.0,-4.746087756162811,,,,,,,,,
18,613.8,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
19,645.9,10,738,296,61.977191710216,24.85806063173975,0.0,0.07729673954736228,0.0,10.810732803826916,,,,,,,,,
20,690.7,10,738,296,61.977191710216,24.85806063173975,0.0,0.3428845000066658,0.0,12.746635687980124,,,,,,,,,
21,715.2,9,738,297,61.977191710216,24.94204056630644,0.0,-0.42986911771181446,0.0,-8.478680822718227,,,,,,,,,
22,763.6,9,738,297,61.977191710216,24.94204056630644,0.0,0.294864623443961,0.0,-7.113742423255998,,,,,,,,,
23,781.7,10,738,297,61.977191710216,24.94204056630644,0.0,0.1635441763713494,0.0,-16.68818126238268,,,,,,,,,
24,814.1,10,738,296,61.977191710216,24.85806063173975,0.0,-0.4271301629545859,0.0,8.534069189901814,,,,,,,,,
25,846.5,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
26,892.3,10,738,296,61.977191710216,24.85806063173975,0.0,0.1769189071512006,0.0,16.930038961837496,,,,,,,,,
27,914.2,10,738,296,61.977191710216,24.85806063173975,0.0,0.0,0.0,0.0,,,,,,,,,
28,946.3,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
29,982.0,9,738,297,61.977191710216,24.94204056630644,0.0,0.0972707693080105,0.0,-18.70591717461765,,,,,,,,,
30,1014.3,10,738,296,61.977191710216,24.85806063173975,0.0,0.4232782877375602,0.0,8.457108646105107,,,,,,,,,
31,1046.1,10,738,297,61.977191710216,24.94204056630644,0.0,-0.41947935284061505,0.0,-8.406399856525356,,,,,,,,,
32,1082.1,10,738,296,61.977191710216,24.85806063173975,0.0,0.002521925005854178,0.0,16.812833372376765,,,,,,,,,
33,1113.8,9,738,297,61.977191710216,24.94204056630644,0.0,0.42411977004784784,0.0,-8.440194428812893,,,,,,,,,
34,1146.1,10,738,296,61.977191710216,24.85806063173975,0.0,-0.0008389603852826213,0.0,16.779207705632004,,,,,,,,,
35,1181.9,10,738,297,61.977191710216,24.94204056630644,0.0,0.4213725825901664,0.0,-8.419032619184152,,,,,,,,,
36,1214.3,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
37,1246.2,10,738,297,61.977191710216,24.94204056630644,0.0,0.4198988355476269,0.0,-8.372858136542911,,,,,,,,,
38,1282.0,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
39,1314.0,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
40,1346.5,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
41,1384.3,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
42,1414.0,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
43,1448.4,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
44,1481.7,9,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
45,1513.9,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
46,1546.0,10,738,297,61.977191710216,24.94204056630644,0.0,0.0,0.0,0.0,,,,,,,,,
